Subject,Body,From: (Name),From: (Address)
MRC Low Signal ENDED - TDL Path 2,"This email is to inform you that TDL Path 2 ended low signal at 2023-06-30 at 05:35 (meth2 > 1.7).
",eco1deb@argos-sci.co.za,eco1deb@argos-sci.co.za
MRC Low Signal - TDL Path 2,"This email is to inform you that TDL Path 2 entered low signal at 2023-06-30 at 02:05 (meth2 < 1.7). This message is generated automatically and a working email will be sent when the system is out of low signal.
",eco1deb@argos-sci.co.za,eco1deb@argos-sci.co.za
MRC Low Signal ENDED - TDL Path 2,"This email is to inform you that TDL Path 2 ended low signal at 2023-06-30 at 01:55 (meth2 > 1.7).
",eco1deb@argos-sci.co.za,eco1deb@argos-sci.co.za
MRC Low Signal - TDL Path 2,"This email is to inform you that TDL Path 2 entered low signal at 2023-06-30 at 01:35 (meth2 < 1.7). This message is generated automatically and a working email will be sent when the system is out of low signal.
",eco1deb@argos-sci.co.za,eco1deb@argos-sci.co.za
MRC Low Signal ENDED - TDL Path 2,"This email is to inform you that TDL Path 2 ended low signal at 2023-06-30 at 00:55 (meth2 > 1.7).
",eco1deb@argos-sci.co.za,eco1deb@argos-sci.co.za
MRC Low Signal - TDL Path 2,"This email is to inform you that TDL Path 2 entered low signal at 2023-06-29 at 23:45 (meth2 < 1.7). This message is generated automatically and a working email will be sent when the system is out of low signal.
",eco1deb@argos-sci.co.za,eco1deb@argos-sci.co.za
UV CEMS Low Signal ENDED,"usig out of low signal at 2023-06-28 09:28 (11113.7)
",eco1deb@argos-sci.co.za,eco1deb@argos-sci.co.za
UV CEMS Low Signal,"usig low signal at 2023-06-28 09:26 (5139.0)
",eco1deb@argos-sci.co.za,eco1deb@argos-sci.co.za
MRC Low Signal ENDED - TDL Path 2,"This email is to inform you that TDL Path 2 ended low signal at 2023-06-28 at 06:55 (sig2 > 0.2).
",eco1deb@argos-sci.co.za,eco1deb@argos-sci.co.za
MRC System Up - TDL Path 2,"This email is to inform you that TDL Path 2 is working properly at 2023-06-28 at 06:50.
",eco1deb@argos-sci.co.za,eco1deb@argos-sci.co.za
MRC System Down - TDL Path 2,"This email is to inform you that TDL Path 2 is not working properly at 2023-06-28 at 02:00. This message is generated automatically and a working email will be sent when the problem is fixed.
",eco1deb@argos-sci.co.za,eco1deb@argos-sci.co.za
MRC Low Signal ENDED - TDL Path 2,"This email is to inform you that TDL Path 2 ended low signal at 2023-06-28 at 01:30 (meth2 > 1.7).
",eco1deb@argos-sci.co.za,eco1deb@argos-sci.co.za
MRC Low Signal - TDL Path 2,"This email is to inform you that TDL Path 2 entered low signal at 2023-06-28 at 01:25 (meth2 < 1.7). This message is generated automatically and a working email will be sent when the system is out of low signal.
",eco1deb@argos-sci.co.za,eco1deb@argos-sci.co.za
MRC Low Signal - TDL Path 2,"This email is to inform you that TDL Path 2 entered low signal at 2023-06-28 at 00:30 (sig2 < 0.2). This message is generated automatically and a working email will be sent when the system is out of low signal.
",eco1deb@argos-sci.co.za,eco1deb@argos-sci.co.za
UV CEMS Low Signal ENDED,"usig out of low signal at 2023-06-27 14:33 (12411.1)
",eco1deb@argos-sci.co.za,eco1deb@argos-sci.co.za
UV CEMS Low Signal,"usig low signal at 2023-06-27 14:32 (5707.3)
",eco1deb@argos-sci.co.za,eco1deb@argos-sci.co.za
MRC Low Signal ENDED - TDL Path 2,"This email is to inform you that TDL Path 2 ended low signal at 2023-06-27 at 07:05 (sig2 > 0.2).
",eco1deb@argos-sci.co.za,eco1deb@argos-sci.co.za
MRC Low Signal ENDED - TDL Path 2,"This email is to inform you that TDL Path 2 ended low signal at 2023-06-27 at 07:00 (meth2 > 1.7).
",eco1deb@argos-sci.co.za,eco1deb@argos-sci.co.za
MRC System Up - TDL Path 2,"This email is to inform you that TDL Path 2 is working properly at 2023-06-27 at 07:00.
",eco1deb@argos-sci.co.za,eco1deb@argos-sci.co.za
MRC System Down - TDL Path 2,"This email is to inform you that TDL Path 2 is not working properly at 2023-06-27 at 00:55. This message is generated automatically and a working email will be sent when the problem is fixed.
",eco1deb@argos-sci.co.za,eco1deb@argos-sci.co.za
MRC Low Signal - TDL Path 2,"This email is to inform you that TDL Path 2 entered low signal at 2023-06-27 at 00:40 (meth2 < 1.7). This message is generated automatically and a working email will be sent when the system is out of low signal.
",eco1deb@argos-sci.co.za,eco1deb@argos-sci.co.za
MRC Low Signal ENDED - TDL Path 2,"This email is to inform you that TDL Path 2 ended low signal at 2023-06-27 at 00:35 (meth2 > 1.7).
",eco1deb@argos-sci.co.za,eco1deb@argos-sci.co.za
MRC Low Signal - TDL Path 2,"This email is to inform you that TDL Path 2 entered low signal at 2023-06-27 at 00:20 (meth2 < 1.7). This message is generated automatically and a working email will be sent when the system is out of low signal.
",eco1deb@argos-sci.co.za,eco1deb@argos-sci.co.za
